pub_date	title	venue	excerpt	citation	url_slug	paper_url
2011-04-01	Novasky: Cinematic-Quality VoD in a P2P Storage Cloud	Proc. of IEEE INFOCOM	Abstract	Todo	Cinematic-Quality-VoD-in-a-P2P-Storage-Cloud	
2011-04-01	On the Efficiency of Collaborative Caching in ISP-aware P2P Networks	Proc. of IEEE INFOCOM	Abstract	Todo	On-the-Efficiency-of-Collaborative-Caching-in-ISP-aware-P2P-Networks	
2009-10-13	Quota: Rationing Server Resources in Peer-Assisted Online Hosting Systems	IEEE International Conference on Network Protocols (ICNP)	Abstract	Todo	Rationing-Server-Resources-in-Peer-Assisted-Online-Hosting-Systems	https://ieeexplore.ieee.org/abstract/document/5339692
2009-04-21	How Do P2P Streaming Systems Scale Over Time Under a Flash Crowd?	International Workshop on Peer-to-Peer Systems (IPTPS)	Abstract	Todo	How-Do-P2P-Streaming-Systems-Scale-Over-Time-Under-a-Flash-Crowd	
2009-04-01	FS2You: Peer-Assisted Semi-Persistent Online Storage at a Large Scale	Proc. of IEEE INFOCOM	Abstract	Todo	Peer-Assisted-Semi-Persistent-Online-Storage-at-a-Large-Scale	
2009-06-01	Understanding the Roles of Servers in Large-scale Peer-Assisted Online Storage Systems	IEEE International Conference on Communications (ICC)	Abstract	Todo	Understanding-the-Roles-of-Servers-in-Large-scale-Peer-Assisted-Online-Storage-Systems	
2009-06-01	Peer-Assisted Online Storage and Distribution: Modeling and Server Strategies	International Workshop on Network and Operating Systems Support for Digital Audio and Video (ACM NOSSDAV)	Abstract	Todo	Peer-Assisted-Online-Storage-and-Distribution:-Modeling-and-Server-Strategies	https://dl.acm.org/doi/abs/10.1145/1542245.1542249
2009-05-11	Understanding the Flash Crowd in P2P Live Video Streaming Systems	International Packet Video Workshop (PV)	Abstract	Todo	Understanding-the-Flash-Crowd-in-P2P-Live-Video-Streaming-Systems	https://ieeexplore.ieee.org/abstract/document/5152154/
2008-11-01	An Empirical Study of Flash Crowd Dynamics in a P2P-based Live Video Streaming System	Proc. of IEEE Globecom	Abstract	Todo	An-Empirical-Study-of-Flash-Crowd-Dynamics-in-a-P2P-based-Live-Video-Streaming-System	
2008-06-01	A Preliminary Study of Information Collection in a Mobile Sensor Network	Proc. of ICST QShine	Abstract	Todo	A-Preliminary-Study-of-Information-Collection-in-a-Mobile-Sensor-Network	
2019-04-01	"Large-Scale Peer-Assisted Online Hosting, Distribution and Video Streaming Systems: Design, Modeling and Practice"	LAP LAMBERT Academic Publishing	Abstract	Todo	Large-Scale-Peer-Assisted-Online-Hosting-Distribution-and-Video-Streaming-Systems	"https://www.morebooks.de/store/gb/book/large-scale-peer-assisted-online-hosting,-distribution-and-video-streaming-systems/isbn/978-3-330-00958-5"
2013-07-01	Battery Matters: Rightsizing Energy Storage for Green Datacenters	Technical report	Abstract	Todo	Rightsizing-Energy-Storage-for-Green-Datacenters	https://JiahaiHu.github.io/files/Wei2014BatteryMatters.pdf
